,国語,世界史,日本史,地理,現代社会,倫理,政治経済,数学1A,数学2B,物理,化学,生物,地学,英語,リスニング
1990,66.55,64.54,73.93,65.86,60.8,71.88,71.88,73.37,64.27,74.12,67.84,62.06,66.06,68.81,
1991,63.92,72.45,66.22,60.5,63.62,63.31,63.31,50.72,67.81,73.17,64.25,58.83,69.31,65.48,
1992,61.45,71.37,63.97,62.74,57.86,60.88,60.88,56.93,48.36,57.48,61.58,62.56,68.49,60.66,
1993,67.15,65.71,73.37,69.47,62.09,62.34,62.34,69.14,65.48,53.84,58.69,59.94,66.04,53.36,
1994,64.81,63.76,70.08,77.05,61.02,62.75,62.75,56.8,77.2,68.11,52.12,62.44,60.26,48.21,
1995,67.41,63.52,57.37,72.35,61.85,67.03,67.03,56.41,67.44,70.52,60.56,65.83,52.91,54.76,
1996,68.89,64.62,59.99,62.75,61.67,64.92,64.92,51.54,52.46,72.81,65.8,58.36,70.65,63.07,
1997,70.1,68.3,55.8,67.3,56.6,71.1,63.3,66.4,63.9,70.7,62.9,51.7,67.6,68.7,
1998,58.0,65.5,62.1,77.2,66.2,69.3,71.1,63.4,41.3,64.8,65.9,62.8,60.7,63.8,
1999,53.5,64.1,58.9,62.2,55.2,60.0,56.8,50.7,62.1,66.4,63.7,73.0,67.4,55.7,
2000,56.4,64.6,61.7,58.2,44.3,54.4,58.3,73.6,57.3,55.9,57.5,70.1,66.2,59.8,
2001,51.0,61.6,55.2,63.5,56.6,68.1,54.1,64.8,68.8,72.8,58.5,67.1,64.2,55.3,
2002,56.3,59.8,58.7,66.3,60.4,65.5,52.4,63.7,59.2,61.0,57.4,62.8,61.1,54.8,
2003,50.5,56.5,63.9,54.9,59.5,60.6,62.9,61.1,49.8,61.6,61.8,66.9,56.8,63.4,
2004,57.0,61.4,56.5,62.1,57.2,69.8,61.4,70.1,45.6,62.9,54.3,62.6,63.6,65.0,
2005,59.7,63.1,59.2,70.2,70.2,67.0,64.5,69.4,52.4,59.9,66.0,51.5,64.0,58.0,
2006,62.76,66.25,54.66,65.13,57.91,68.74,61.05,62.36,57.66,73.42,64.13,69.6,59.29,63.76,72.5
2007,54.97,67.75,67.02,58.41,50.31,69.66,64.41,54.06,48.94,64.42,61.35,67.04,62.42,65.54,64.94
2008,60.82,58.98,64.27,66.36,60.55,67.58,63.73,66.31,51.01,64.55,64.21,57.64,59.68,62.63,58.9
2009,57.73,62.7,57.94,64.45,60.19,71.51,69.31,63.96,50.86,63.55,69.54,55.85,51.85,57.51,48.06
2010,53.81,59.62,61.51,65.11,58.76,68.66,59.16,48.96,57.12,54.01,53.79,69.7,66.76,59.07,58.78
2011,55.64,61.46,64.11,66.4,61.76,69.42,58.97,65.95,52.46,64.08,56.57,63.36,64.3,61.39,50.34
2012,58.97,60.93,67.92,62.16,52.1,69.01,57.99,69.97,51.16,68.03,65.13,64.0,69.48,62.07,49.1
2013,50.52,62.43,62.13,61.88,60.45,58.83,55.46,51.2,55.64,62.7,63.67,61.31,68.68,59.57,62.9
2014,49.33,68.38,66.32,69.68,58.32,60.87,53.85,62.08,53.94,61.64,69.42,53.25,50.22,59.43,66.32
2015,59.61,65.64,62.01,58.59,58.99,53.39,54.79,61.27,39.31,64.31,62.5,54.99,40.91,58.08,70.78
2016,64.69,67.25,65.55,60.1,54.53,51.84,59.97,55.27,47.92,61.7,54.48,63.62,38.64,56.21,61.62
2017,53.48,65.44,59.29,62.34,57.41,54.66,63.01,61.12,52.07,62.88,51.94,68.97,53.77,61.86,56.22
2018,52.34,67.97,62.19,67.99,58.22,67.78,56.39,61.91,51.07,62.42,60.57,61.36,48.58,61.87,45.34
2019,60.77,65.36,63.54,62.03,56.76,62.25,56.24,59.68,53.21,56.94,54.67,62.89,46.34,61.65,62.84
2020,59.66,62.97,65.45,66.35,57.3,65.37,53.75,51.88,49.03,60.68,54.79,57.56,39.51,58.15,57.56
2021,58.75,63.49,64.26,60.06,58.4,71.96,57.03,57.68,59.93,62.36,57.59,72.64,46.65,58.8,56.16
2022,54.39,68.01,54.92,61.15,63.13,63.7,58.98,40.25,45.89,61.97,49.45,50.08,54.75,63.29,60.56
